name,prompt,negative_prompt
SDXL PP Basic Isometry,"(((Isometric))) {prompt} (((, ( blank background, grey background:1.4), in the style of a cartoon game)))","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), low poly, minecraft, cubism "
SDXL PP Basic Isometry_ClassName,"(((Isometric))) {prompt} (((, ( blank background, grey background:1.4), in PH_Style)))","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), low poly, minecraft, cubism"
SDXL FD Basic Isometry_ClassName,"(((Isometric))) {prompt} (((, ( blank background, grey background:1.4), in FD_Style)))","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), low poly, minecraft, cubism"
SDXL PP Basic UI,Icon of {prompt} in the style of mobile game interface,"((deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark, Poor quality, fuzziness, blurring, outlining, artifacts, jpeg artifacts, multiple objects, multiple objects, tiles))"
FD_Pixar_D&D_Cinematic,"epic realistic, (((Image of isometric))) , {prompt}, pixar style, 4k textures, hdr, intricate, highly detailed, sharp focus, cinematic look, hyper detailed, sunset lighting, <lora:dungeons_and_dragons_xl_v3:0.75> dungeons and dragons (((, ( blank background, grey background:1.4), in the style of a cartoon game))), faded, (neutral colors:1.2), art, (hdr:1.5), (muted colors:1.1), (pastel:0.2), hyperdetailed, (artstation:1.4), warm lights, dramatic light, (intricate details:1.2), vignette, complex background, rutkowski (Single Object, isolated object:1.2)","(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), many object, creatures, peoples, photograph, realism, anime"
FD_Pixar_Cinematic_NoLora,"(((Image of isometric))) , {prompt}, pixar style, 4k textures, hdr, intricate, highly detailed, sharp focus, cinematic look, hyper detailed, sunset lighting, pixar style (((, ( blank background, grey background:1.4), in the style of a cartoon game))), (cinematic look:1.4), soothing tones, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded, slate gray atmosphere (Single Object, isolated object:1.2)","black and white, b&w, (deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark), many object, creatures, peoples, photograph, realism, anime"
Anime,"(anime), (illustration), cartoon, detailed, {prompt}",
Hentai,"(ahegao), (anime, hentai painting), naked nao tomori, ({prompt}:1.15), intricate, glossy, realism, art by rossdraws, soft light, (muted colors), warm, dramatic, (cum dripping)",
illustration,"illustration, cartoon, soothing tones, calm colors, {prompt}",
Caricature,"big head, big eyes, caricature, a caricature, digital rendering, (figurativism:0.8)",
3d (render) 👎,"eevee, 3d, render, 3 point light, (glossy:0.76), ambient occlusion",
3d (render) 👍,"epic realistic, hyperdetailed, (cycles render:1.3), caustics, (glossy:0.58), (artstation:0.82)",
3d (movie),"epic realistic, pixar style, disney, (cycles render:1.3), caustics, (glossy:0.58), (artstation:0.2), cute",
8bit,"pixel art, 8bit, aliasing, contrast, complex stuff","fabric, realistic, material, grain, grainy"
Logo,"(logo:1.3), vector graphics, brand, design, inspired, (straight:1.3), (symmetrical:0.4)",
Engraving,"(grayscale, woodcut:1.2), (etching:1.1), (engraving:0.2), {prompt}, detailed",colored
Comic book,"neutral palette, comic style, muted colors, illustration, cartoon, soothing tones, low saturation, {prompt}",
Cinematic,"(cinematic look:1.4), soothing tones, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded, slate gray atmosphere","black and white, b&w, {prompt}"
Cinematic (horror),"slate atmosphere, cinematic, dimmed colors, dark shot, muted colors, film grainy, lut, spooky",
Cinematic (art),"art by greg rutkowski and artgerm, soft cinematic light, adobe lightroom, photolab, hdr, intricate, highly detailed, (depth of field:1.4)",
Gloomy,"complex background, stuff in the background, highly detailed, (gloomy:1.3), dark, dimmed, hdr, vignette, grimy, (slate atmosphere:0.8)","(depth of field:1.3), (bokeh:1.2), (blur), blurred, pink"
Professional photo,"lightroom, natural, perfect, [oliver wetter|(kodak portra:0.08)|(leibovitz:0.6)], raw, intricate, high quality, mamiya, exposure blend","lowers, jpeg artifacts, low quality"
Painting,"rutkowski, intricate digital art, soothing tones, (cartoon:0.3), (art:1.4), epic realistic, faded, neutral colors, (hdr:1.4), (muted colors:1.4), (intricate), (artstation:1.99), dramatic, intricate details, (technicolor:0.9), detailed, intricate, cinematic, detailed",
Painting (vivid),"(pascal campion:0.38), vivid colors, (painting art:0.06), [eclectic:clear:17]","vignette, cinematic, grayscale, bokeh, blurred, depth of field"
Midjourney (warm),"epic realistic, {prompt}, faded, (neutral colors:1.2), art, (hdr:1.5), (muted colors:1.1), (pastel:0.2), hyperdetailed, (artstation:1.4), warm lights, dramatic light, (intricate details:1.2), vignette, complex background, rutkowski",
Midjourney,"(dark shot:1.1), epic realistic, {prompt}, faded, (neutral colors:1.2), (hdr:1.4), (muted colors:1.2), hyperdetailed, (artstation:1.4), cinematic, warm lights, dramatic light, (intricate details:1.1), complex background, (rutkowski:0.66), (teal and orange:0.4)",
XpucT,"epic realistic, {prompt}, (dark shot:1.22), neutral colors, (hdr:1.4), (muted colors:1.4), (intricate), (artstation:1.2), hyperdetailed, dramatic, intricate details, (technicolor:0.9), (rutkowski:0.8), cinematic, detailed",
+ Details,"(intricate details:1.12), hdr, (intricate details, hyperdetailed:1.15)",
+ Natural Skin,"(natural skin texture, hyperrealism, soft light, sharp:1.2)",
+ Basic Negative,,"(deformed, extra fingers, extra legs, extra limbs, bad proportions, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark)"
+ Negative for iso objects,,"many object, creatures, peoples, photograph, realism, anime "
+ Negative for iso trees,,"detached branchs, Flying branches, torn off entities, not a consistent look, a pathetic look "
SDXL PP Basic CharacterConcept,"(((Character concept, amazing draw quality, very detailed))) {prompt} (((, ( blank background, grey background:1.4), in the style of a cartoon game)))","grotesque, unsightly, misshapen, mangled, awkward, distorted, twisted, contorted, lopsided, malformed, irregular, unnatural, botched, disfigured, repulsive, revolting, ghastly, hideous, unappealing, terrible, awful, frightful, odious, loathsome, obnoxious, detestable, hateful, repugnant, sickening, vile, abhorrent, contemptible, execrable, repellent, disgusting, distasteful, abominable, tiling, out of frame, body out of frame, blurry, bad anatomy, blurred, watermark, grainy, signature, cut off, draft, gross, weird, uneven, text, poor, low, basic, worst, unprofessional, failure, crayon, label, mutation, mutated, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, text font ui, error, malformed hands, long neck, lowers, low res, bad proportions, bad shadow, uncoordinated body, unnatural body, bad breasts, missing breasts, bad hands, missing fingers, extra digit, fewer digits, username, JPEG artifacts, poorly drawn eyes, different nipples, ((missing arms)), missing thighs, missing calf, missing legs, morbid, (blurry), extra arms, extra legs, (different eyes), bad eyes, ugly eyes, obesity, worst quality, low quality, normal quality, QR code, bar code, pubic hair, mosaic, (poorly drawn eyes), garter straps, garter belt, flat chest, small breasts, small boobs, fat:0.6, overweight:0.6, pink hair, purple hair, signature, watermark, text, poorly drawn face, (poorly drawn hands), mutilated, (ugly), bad eyes, (((deformed))), (bad vagina), bad cameltoe, (bad nipples), poorly drawn vagina, (glasses:1.4), low poly, minecraft, cubism"
SDXL PP Basic CharacterConcept+Background,"(((Character concept, amazing draw quality, very detailed))) {prompt} (((, ( epic backgound :1.4), in the style of a cartoon game)))","grotesque, unsightly, misshapen, mangled, awkward, distorted, twisted, contorted, lopsided, malformed, irregular, unnatural, botched, disfigured, repulsive, revolting, ghastly, hideous, unappealing, terrible, awful, frightful, odious, loathsome, obnoxious, detestable, hateful, repugnant, sickening, vile, abhorrent, contemptible, execrable, repellent, disgusting, distasteful, abominable, tiling, out of frame, body out of frame, blurry, bad anatomy, blurred, watermark, grainy, signature, cut off, draft, gross, weird, uneven, text, poor, low, basic, worst, unprofessional, failure, crayon, label, mutation, mutated, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, text font ui, error, malformed hands, long neck, lowers, low res, bad proportions, bad shadow, uncoordinated body, unnatural body, bad breasts, missing breasts, bad hands, missing fingers, extra digit, fewer digits, username, JPEG artifacts, poorly drawn eyes, different nipples, ((missing arms)), missing thighs, missing calf, missing legs, morbid, (blurry), extra arms, extra legs, (different eyes), bad eyes, ugly eyes, obesity, worst quality, low quality, normal quality, QR code, bar code, pubic hair, mosaic, (poorly drawn eyes), garter straps, garter belt, flat chest, small breasts, small boobs, fat:0.6, overweight:0.6, pink hair, purple hair, signature, watermark, text, poorly drawn face, (poorly drawn hands), mutilated, (ugly), bad eyes, (((deformed))), (bad vagina), bad cameltoe, (bad nipples), poorly drawn vagina, (glasses:1.4), low poly, minecraft, cubism"
SDXL PP Illustrations,"(Street Fighter style action perspective:0.8), (action composition:0.8), ((tilt view)), (depth of field:1.2), ((aerial perspective)), (a close up shot from the worm's eye view) of a (({prompt})) (linear perspective), (hazy light), (bloom lighting:1.2), soft render, (a cartoon mobile game illustrated background:1.2), ((aerial perspective)), (in the style of cartoon game:1.1), soft shadows, (neutral colors:1.2)","turn-based strategy, straight skyline, many object, (сubism:1.2), minecraft, creatures, peoples, realism, anime, (deformed, bad proportions, bad composition, ugly grumpy, cropped, blurry, noisy, oversaturated, out of frame, cut off, weird, low quality, low resolution, text, watermark)"
IconIsland,"( aerial perspective view, fish eye:1.3), 3d cartoon diorama of  (({prompt})) smooth plastic-like textures throughout, (((( blank background)))), (in the style of a cartoon game)","realistic style, painting, many objects, (bad proportions, ugly grumpy, cropped, blurry, boring:1.2), (noisy:1.2), (low quality, low resolution:1.2), (minecraft, cubism:0.4)"
High Definition Portrait," (({prompt})) ,high detail high definition photograph or immense resolution and intricate captures, dodge and burn style professional photo grading","((monochrome)), ((grayscale)),  bad anatomy, low quality,medium quality, 3d,frame,bw,watermark,logo,((letters)),paint,draw,(text),(worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale))"
Atmospheric Analog Mastery ,"An image of a (({prompt})),analog photo, in camera frame, (oil on canvas:0.1), nicola samori, art by Jeremy Mann, god rays, dramatic light, <lora:ClassipeintXL2.0:0.35> <lora:NicolaSamori_2:0.2>,(art by Eduard Wilhelm Pose and Master of the Holy Blood and Ivan Bilibin:1.2), (oxygen-rich air and sheltered atmosphere, snowy, aesthetic of hard - edge painting:0.1), symmetry and balance, pioneering unparalleled masterwork with superior details, (terracotta and lapis lazuli colors:0.1), <lora:MJ52:0.65> <lora:RMSDXL_Creative:1>","((monochrome)), ((grayscale)), bad anatomy, low quality,medium quality, 3d,frame,bw,watermark,logo,((letters)),paint,draw,(text),(worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale))"
Ultra Detailed Oil Painting ,"((masterpiece, best quality, high quality, highres, ultra-detailed)),(({prompt})), (oil painting:0.1), (best quality, 8K, high resolution, extreme detail, outstanding composition:1.4), art by Jeremy Mann, dramatic light, (oxygen-rich air and sheltered atmosphere, , aesthetic of hard - edge painting:0.1),","((monochrome)), ((grayscale)), bad anatomy, low quality,medium quality, 3d,frame,bw,watermark,logo,((letters)),paint,draw,(text),(worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale))"
Vibrant Digital Art (MJ52),"(({prompt})), Vibrant colors, By Makoto Shinkai, Stanley Artgerm Lau, WLOP, Rossdraws, James Jean, Andrei Riabovitchev, Marc Simonetti, krenz cushart, Sakimichan, trending on ArtStation, digital art <lora:add-detail-xl:1> <lora:MJ52:0.5>","((monochrome)), ((grayscale)), bad anatomy, low quality,medium quality, 3d,frame,bw,watermark,logo,((letters)),paint,draw,(text),(worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale))"
Art Nouveau Masterpiece (MJ52),"(({prompt})) , Alphonse Mucha style, artstation, high detail, masterpiece, trending on ArtStation <lora:add-detail-xl:1> <lora:MJ52:0.5>","((monochrome)), ((grayscale)), bad anatomy, low quality,medium quality, 3d,frame,bw,watermark,logo,((letters)),paint,draw,(text),(worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale)),"
Fantastical Digital Realism,"Kalamkari ~ Kerala Murals ~ Nene Stokes ~ Tomer Hanuka ~ John Singer Sargent ~ beautiful ultra detailed gorgeous, (({prompt})) This contrast between the fantastical character and the more bold color scheme and elements gives the piece an intriguing narrative quality. painted realism, photorealistic, 8k, fantasy digital art, HDR, UHD. <lora:add-detail-xl:1> <lora:MJ52:0.5> <lora:attractive_notrigger:0.8>","((monochrome)), ((grayscale)), bad anatomy, low quality,medium quality, 3d,frame,bw,watermark,logo,((letters)),paint,draw,(text),(worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale))"
Intricate Alcohol Ink Fusion,"(({prompt})) Alcohol Ink Splatter Art, style of Brooke Shaden and Catrin Welz-Stein and Mary Blair and Harrison Fisher, detailed texture, intricate details, cinematic, stunning, highly detailed, sharp focus, perfect composition","(CyberRealistic_Negative-neg:0.8), mature, curvy, big tits, (deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, mutated hands and fingers:1.4), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, disconnected limbs, mutation, mutated, ugly, amputation"
Stylized Cityscape Digital Art,"a painting of (({prompt})), a digital painting, by Justin Gerard, tumblr, dan mumford tom bagshaw, 64x64, in the city, cute detailed digital art, painting of beautiful, very stylized, hildebrandt, beautiful deep colours","NSFW,(margin), (reference inset), (error), ((text)), ((signature)), ((watermark)), ((logo)), (username), (name), (artist name), ((word)), ((words)), (letters), (digit), (autograph), censored, (web address), (qr code), (barcode), (crooked fingers), (cut fingers), (extra fingers), (missing fingers), deformed, (bad quality), unrealistic, unnatural, ugly, undetailed"
1920s Art Deco Elegance,"1920s, retro, (({prompt}))  Perfect Hands, upper body, very clearly focused, ((art inspired by John Singer Sargent, Lawrence Alma Tadema and and J.C. Leyendecker)), ((art deco style)), perfect composition, cinematic atmosphere, expressive, artistic, aesthetic, elegant, professional, intricate artwork masterpiece, (masterpiece:1.3), (best quality:1.3), (highly detailed)","(worst quality, low quality, ugly:1.4), ((extra limbs,)) ((extra fingers)), ((poorly drawn hands)), (poorly drawn fingers:1.5), ((poorly drawn face)), ugly, bad anatomy, low quality, deformed, disfigured, mutation, ((mutated hands1.5)), mutated limbs, mutated face, ((mutated eyes)), ((mutated eyebrows)), blurry face, (blurry eyes:1.3), distortion, (color distortion:1.5), ((mutated lipstick))"
Antique Aura Digital Portrait," antique dress, (({prompt})) shiny aura : highly detailed : intricate motifs : organic tracery : by Android jones : Russ mills : Januz Miralles : Hikari Shimoda : Bastien Lecouffe Deharme : space : perfect composition : digital painting : artstation : smooth : sharp focus : sparkling particles","(worst quality:1.5), (low quality:1.5), (normal quality:1.5), lowres, bad anatomy, bad hands, vaginas in breasts, ((monochrome)), ((grayscale)), collapsed eyeshadow, multiple eyebrow, (cropped), oversaturated, extra limb, missing limbs, deformed hands, long neck, long body, imperfect, (bad hands), signature, (watermark), username, artist name, conjoined fingers, deformed fingers, ugly eyes, imperfect eyes, skewed eyes, unnatural face, unnatural body, error, painting by bad-artist, 3d"
Ultra-Detailed Cinematic Realism (Fujifilm XT3),"(({prompt})),feature article or story,(RAW photo, best quality),(realistic, photo-realistic:1.3),(extremely delicate and beautiful:1.1),Amazing,finely detail,masterpiece,ultra-detailed,highres,best illustration,best shadow,intricate,(extremely intricate:1.2),(exquisitely detailed skin),cinematic light,perfect anatomy,(coolcolor:1.4),sharp focus,volumetric fog,8k UHD,DSLR,high quality,( film grain:1.4),Fujifilm XT3,","(worst quality, low quality, thumbnail:1.4), signature, artist name, web address, cropped, jpeg artifacts, watermark, username, collage, grid"
Fantasy Fashion Concept Art,"Inspired by ((Andy Kehoe)),(({prompt})) Serge Marshennikov, Luis Royo, 16k resolution concept art :: fantasy magazine cover art, detailed, realistic, Karol Bak contrasting colors, detailed painting, soft light,  innocent  ( Angelic Expression:1.2), (playful expression:1.2),Shot using a (Ricoh GR III Camera:1.3), using a (28mm f/2.8 lens:1.3), on (Kodak T-MAX P3200 film:1.3), in the style of (Eve Arnold:1.3), (Rule of thirds:1.1),  epiCPhoto","(badhandv4:1), (Head crop:1.2), (underwear:1.3), (worst quality, low quality, normal quality:1.2), painting, drawing, (bad Composition:1.2), (bad anatomy:1.1), (bad proportions:1.1), (poorly cropped:1.2), (missing fingers:1.2),( extra fingers:1.2), (extra arms:1.1), (extra hands:1.2), (Painted nails, ugly nails), (nudity:1.2), (contemporary furnishing:1.3), (modernity:1.3),  electrical lighting, Camera,  epiCPhoto-neg, EasyNegativeV2 , BadDream,  structurezoov15,"
Grunge Fashion Editorial,"hyper realistic and highly detailed, a high-fashion editorial featuring a model, Grunge style, Textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy,(({prompt})) bold lines, award winning, limited color palette, high contrast, depth of field, (intricate details, masterpiece, best quality:1.4), dramatic lighting, beautiful composition, wide angle panoramic view, style by nty","(worst quality, greyscale, jpeg artifacts, spots and lines on skin:2)"
Film Noir Grit and Drama,"Sexy (({prompt})),  dirty mud stained clothes, dirty face, scars, dark gritty atmospehere, rain, night, low light, film noir poster, film grain, danger dark oppressive lighting","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, blurry, bad anatomy, blurred, watermark, grainy, signature, cut off, draft,"
Universal Realistic Portrait,"Portrait of {prompt} High resolution, dramatic lighting, excellent composition, vivid colors, high detail, trending on ArtStation, Alphonse Mucha style, photo-realistic, HDR, UHD.","Low quality, poor anatomy, monochrome, poor hands "
Universal Oil Portrait,"Portrait style, oil painting technique, Portrait of {prompt}, elements from classical art, Renaissance, Baroque, rich color palette, fine brushwork, soft lighting, dramatic contrasts, elegance, emotional depth, detailed, subtle shades, loose brush strokes, vibrant light effects","Modern graphic styles, oversaturated colors, neon colors, abstract backgrounds, rigid, hyper-realistic techniques, flat lighting, sparse styles, minimalistic styles, simplified design "
Pony,"(((zPDXL, score_9, score_8_up, score_7_up, masterpiece, best quality, photo, photograph, source_realistic, raw, BREAK))) {prompt}, dynamic angle, dramatic shadows, highly detailed, detailed skin, depth of field, film grain, ((Solo, posing to viewer)) "," zPDXL-neg, (creampie, pussy juice, pussy dripping, squirting:1.4) Labels, instructions, words, symbols, negativeXL_D, score_6, score_5, score_4, source_anime (worst quality:1.5), (low quality:1.5), (normal quality:1.5), lowres, bad anatomy, bad hands, multiple eyebrow, (cropped), extra limb, missing limbs, deformed hands, long neck, long body, (bad hands), signature, username, artist name, conjoined fingers, deformed fingers, ugly eyes, imperfect eyes, skewed eyes, unnatural face, unnatural body, error, painting by bad-artist, child, chibi, greyscale, bad fingers,  lazy eyes, ugly face, pixelated, extra fingers, sunken cheeks,"
3dPortraitRender,"((very detailed)), (( 3d render of {prompt})), stylized fabric, stylized clothes, (exaggerated proportions giving a cartoonish appearance, overall smooth texture and clean rendering suggesting digital artistry), ((( in the style of a cartoon game))), soft light, caustic","bad face, bad eyes, blue eyes, bad hands, (deformed, distorted, disfigured), poorly drawn, bad anatomy, blurry, drawn by bad-artist, sketch by bad-artist-anime, (worst quality, poor details:1.1), grainy, cut off, draft"
